r_cm,r_mm,T_hev_z0.2mm,flux_raw_z0.2mm,flux_norm_z0.2mm,T_hev_z0.5mm,flux_raw_z0.5mm,flux_norm_z0.5mm,T_hev_z0.8mm,flux_raw_z0.8mm,flux_norm_z0.8mm,T_hev_z1.0mm,flux_raw_z1.0mm,flux_norm_z1.0mm
0.04777555110220441,0.4777555110220441,1.4798266326279406,4.934025888085585e+20,0.9451200300655508,1.294736338909977,2.891235161312123e+20,0.8279032233750517,0.8961359015734792,6.635193216690909e+19,0.3982656063852396,0.0,0.0,0.0
0.04793587174348698,0.4793587174348698,1.479663582318916,4.931851683414397e+20,0.9447035579126252,1.2942217683572457,2.8866416151270828e+20,0.8265878645470306,0.8934167558456803,6.5550263326055784e+19,0.3934537325392837,0.0,0.0,0.0
0.048096192384769546,0.4809619238476954,1.4794996509140186,4.929666454185058e+20,0.9442849739891156,1.2937039081708548,2.882024230942893e+20,0.8252656797241549,0.8906552126739677,6.474355217883044e+19,0.3886115931511007,0.0,0.0,0.0
0.048256513026052106,0.48256513026052106,1.4793348340342327,4.927470153604707e+20,0.9438642693317795,1.2931827347928595,2.87738290030116e+20,0.8239366378494372,0.8878500706074755,6.393175134680805e+19,0.3837389038401679,0.0,0.0,0.0
0.04841683366733467,0.48416833667334674,1.479169127264681,4.925262734538992e+20,0.9434414349119614,1.2926582243978508,2.8727175138884023e+20,0.8226007076210362,0.885000073580693,6.3114812247701815e+19,0.3788353729999971,0.0,0.0,0.0
0.04857715430861724,0.48577154308617243,1.4790025261542916,4.92304414950939e+20,0.9430164616350794,1.2921303528891461,2.868027961528274e+20,0.8212578574900306,0.8821039074726286,6.22926850399418e+19,0.37390070146547866,0.0,0.0,0.0
0.04873747494989981,0.48737474949899806,1.4788350262154606,4.920814350690471e+20,0.9425893403401009,1.2915990958949064,2.8633141321736595e+20,0.8199080556581538,0.8791601963864799,6.1465318563540296e+19,0.36893458215793573,0.0,0.0,0.0
0.04889779559118237,0.4889779559118237,1.4786666229237106,4.918573289907158e+20,0.9421600617990178,1.2910644287641875,2.8585759138987118e+20,0.8185512700755161,0.8761674986218796,6.063266027692992e+19,0.3639366997060068,0.0,0.0,0.0
0.049058116232464935,0.4905811623246493,1.4784973117173448,4.916320918631924e+20,0.9417286167163098,1.2905263265629148,2.8538131938907554e+20,0.8171874684382842,0.8731243023083846,5.979465618941177e+19,0.35890673004017737,0.0,0.0,0.0
0.0492184368737475,0.492184368737475,1.4783270879970978,4.9140571879820086e+20,0.9412949957284115,1.2899847640697868,2.8490258584421076e+20,0.8158166181863404,0.8700290206651226,5.895125078882611e+19,0.35384433995863646,0.0,0.0,0.0
